pool_id,application_code
pool1ygknss6wt9jx7759jzd6dvduclfdm68nlcy3g8e2x4qykuzgvhw,MUSA-0001
pool18a992crtw6qce9az4kuv8nkeunhl5pgsrvnrz0z82fwksjtpwtj,MUSA-0001
pool10xzglx49kzaud5wuule06zqnrc5ng06224sxka5p3jt6yz46g5g,MUSA-9999
pool1j6s6ed7zehvw8mheqs835ffs8dr9zhr8wf7c3yu74x6t7al9j8x,MUSA.0002
pool1j6s6ed7zehvw8mheqs835ffs8dr9zhr8wf7c3yu74x6t7al9j8x,SOMETHING-ELSE
pool16rd7du0uqufp62pn8ey4ghm2wkqgh94p4jmu9nwcu0h0jp7w2a2,MUSA_0003
pool1kwlvn4xlat6sqzckyykrwsjdtp3ku7vy37d2tv9mcmgacf7uce4,NOT-OURS
not a pool id,MUSA-0001
pool1kwlvn4xlat6sqzckyykrwsjdtp3ku7vy37d2tv9mcmgacf7uce4,"a code with spaces"
pool102xtd26h9r7dw068zdc5645r736793lujx7fpgcfmajhyxs7ny8,f4636c5753b889dcffe0d004dcc8fcd36368d689e3c9015abb5ddb27289aaa4e
